,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,
,,,,,,,,,,,,Price,,Total Return Price,
,,,,  Consumer,,,,,Real,,Real,Earnings,,Earnings,
,S&P,,,Price,,Long,,,Total,,TR,Ratio,,Ratio,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Return,Real,Scaled,P/E10 or,,TR P/E10 or,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,,TR CAPE,
1883.11,5.46,0.33,0.40,9.13,1883.87,3.62,154.95,9.34,333.01,11.42,24.55,15.41,,19.72,
1883.12,5.34,0.33,0.40,9.23,1883.96,3.62,149.98,9.27,323.99,11.23,24.27,14.90,,19.07,
1884.01,5.18,0.33,0.39,9.23,1884.04,3.62,145.49,9.22,315.95,11.02,23.94,14.43,,18.48,
1884.02,5.32,0.33,0.39,9.23,1884.12,3.61,149.42,9.18,326.15,10.81,23.60,14.81,,18.96,
1884.03,5.30,0.33,0.38,9.23,1884.21,3.60,148.86,9.13,326.58,10.60,23.26,14.74,,18.88,
1884.04,5.06,0.32,0.37,9.04,1884.29,3.60,145.11,9.27,320.05,10.61,23.40,14.35,,18.40,
1884.05,4.65,0.32,0.36,8.85,1884.37,3.59,136.22,9.42,302.17,10.62,23.56,13.47,,17.27,
1884.06,4.46,0.32,0.36,8.85,1884.46,3.58,130.65,9.37,291.56,10.40,23.21,12.91,,16.58,
1884.07,4.46,0.32,0.35,8.75,1884.54,3.57,132.07,9.43,296.48,10.29,23.10,13.04,,16.77,
1884.08,4.74,0.32,0.34,8.75,1884.62,3.56,140.36,9.38,316.85,10.07,22.73,13.86,,17.83,
1884.09,4.59,0.32,0.33,8.66,1884.71,3.55,137.41,9.43,311.97,9.95,22.60,13.57,,17.47,
1884.1,4.44,0.31,0.33,8.56,1884.79,3.55,134.40,9.48,306.92,9.84,22.47,13.27,,17.11,
1884.11,4.35,0.31,0.32,8.37,1884.87,3.54,134.67,9.65,309.37,9.83,22.58,13.30,,17.17,
1884.12,4.34,0.31,0.31,8.28,1884.96,3.53,135.90,9.71,314.06,9.71,22.43,13.43,,17.36,
1885.01,4.24,0.30,0.31,8.28,1885.04,3.52,132.77,9.53,308.66,9.60,22.33,13.13,,16.99,
1885.02,4.37,0.30,0.30,8.37,1885.12,3.51,135.29,9.23,316.30,9.39,21.95,13.38,,17.33,
1885.03,4.38,0.29,0.30,8.18,1885.21,3.50,138.75,9.27,326.20,9.50,22.34,13.73,,17.80,
1885.04,4.37,0.29,0.30,8.28,1885.29,3.48,136.84,8.98,323.47,9.29,21.96,13.55,,17.58,
1885.05,4.32,0.28,0.29,8.09,1885.37,3.47,138.46,9.00,329.07,9.40,22.34,13.71,,17.80,
1885.06,4.30,0.28,0.29,7.90,1885.46,3.46,141.14,9.03,337.23,9.52,22.74,13.98,,18.17,
1885.07,4.46,0.27,0.29,7.99,1885.54,3.45,144.65,8.73,347.35,9.30,22.33,14.33,,18.63,
1885.08,4.71,0.26,0.28,7.99,1885.62,3.43,152.76,8.54,368.53,9.19,22.17,15.13,,19.68,
1885.09,4.65,0.26,0.28,7.90,1885.71,3.42,152.63,8.45,369.92,9.19,22.27,15.12,,19.66,
1885.1,4.92,0.25,0.28,7.90,1885.79,3.41,161.49,8.26,393.06,9.08,22.11,15.99,,20.80,
1885.11,5.24,0.25,0.27,7.99,1885.87,3.40,169.95,7.97,415.26,8.86,21.66,16.82,,21.88,
1885.12,5.20,0.24,0.27,8.18,1885.96,3.38,164.73,7.60,404.06,8.55,20.98,16.30,,21.19,
1886.01,5.20,0.24,0.28,7.99,1886.04,3.37,168.65,7.73,415.26,8.92,21.96,16.69,,21.69,
1886.02,5.30,0.24,0.28,7.99,1886.12,3.38,171.89,7.68,424.82,9.08,22.44,17.01,,22.09,
1886.03,5.19,0.24,0.29,7.90,1886.21,3.40,170.35,7.71,422.60,9.35,23.21,16.84,,21.87,
1886.04,5.12,0.23,0.29,7.80,1886.29,3.41,170.10,7.75,423.59,9.63,23.99,16.80,,21.81,
1886.05,5.02,0.23,0.30,7.61,1886.37,3.42,170.95,7.89,427.34,10.05,25.11,16.86,,21.89,
1886.06,5.25,0.23,0.30,7.52,1886.46,3.43,181.05,7.93,454.22,10.35,25.96,17.83,,23.13,
1886.07,5.33,0.23,0.31,7.61,1886.54,3.45,181.51,7.77,457.01,10.39,26.15,17.85,,23.13,
1886.08,5.37,0.23,0.31,7.71,1886.62,3.46,180.61,7.62,456.35,10.43,26.34,17.72,,22.95,
1886.09,5.51,0.23,0.32,7.71,1886.71,3.47,185.32,7.57,469.84,10.59,26.86,18.15,,23.48,
1886.1,5.65,0.22,0.32,7.71,1886.79,3.48,190.03,7.51,483.37,10.76,27.38,18.56,,24.00,
1886.11,5.79,0.22,0.33,7.71,1886.87,3.50,194.74,7.46,496.93,10.93,27.89,18.97,,24.50,
1886.12,5.64,0.22,0.33,7.80,1886.96,3.51,187.38,7.31,479.70,10.96,28.07,18.19,,23.49,
1887.01,5.58,0.22,0.33,7.99,1887.04,3.52,180.97,7.22,464.84,10.78,27.70,17.51,,22.59,
1887.02,5.54,0.23,0.34,8.09,1887.12,3.53,177.56,7.21,457.62,10.74,27.67,17.13,,22.08,
1887.03,5.67,0.23,0.34,8.09,1887.21,3.55,181.73,7.29,469.93,10.82,27.97,17.47,,22.52,
1887.04,5.80,0.23,0.34,8.09,1887.29,3.56,185.90,7.37,482.29,10.90,28.27,17.82,,22.95,
1887.05,5.90,0.23,0.34,8.09,1887.37,3.57,189.10,7.45,492.21,10.98,28.57,18.08,,23.26,
1887.06,5.73,0.24,0.35,7.99,1887.46,3.58,185.84,7.62,485.38,11.19,29.22,17.71,,22.78,
1887.07,5.59,0.24,0.35,7.90,1887.54,3.60,183.48,7.80,480.92,11.41,29.90,17.43,,22.42,
1887.08,5.45,0.24,0.35,7.99,1887.62,3.61,176.76,7.78,464.99,11.35,29.86,16.74,,21.52,
1887.09,5.38,0.24,0.35,7.90,1887.71,3.62,176.59,7.96,466.30,11.57,30.55,16.68,,21.43,
1887.1,5.20,0.25,0.36,7.99,1887.79,3.63,168.65,7.95,447.08,11.51,30.52,15.88,,20.41,
1887.11,5.30,0.25,0.36,8.09,1887.87,3.65,169.87,7.93,452.07,11.46,30.49,15.95,,20.50,
